Training Epoch: 1 [25728/45388]	Loss: 2.6301	LR: 0.002831
Training Epoch: 1 [25856/45388]	Loss: 2.6038	LR: 0.002845
Training Epoch: 1 [25984/45388]	Loss: 2.6641	LR: 0.002859
Training Epoch: 1 [26112/45388]	Loss: 2.6788	LR: 0.002873
Training Epoch: 1 [26240/45388]	Loss: 2.6025	LR: 0.002887
Training Epoch: 1 [26368/45388]	Loss: 2.6362	LR: 0.002901
Training Epoch: 1 [26496/45388]	Loss: 2.6185	LR: 0.002915
Training Epoch: 1 [26624/45388]	Loss: 2.5566	LR: 0.002930
Training Epoch: 1 [26752/45388]	Loss: 2.5780	LR: 0.002944
Training Epoch: 1 [26880/45388]	Loss: 2.7167	LR: 0.002958
Training Epoch: 1 [27008/45388]	Loss: 2.5725	LR: 0.002972
Training Epoch: 1 [27136/45388]	Loss: 2.6206	LR: 0.002986
Training Epoch: 1 [27264/45388]	Loss: 2.5621	LR: 0.003000
Training Epoch: 1 [27392/45388]	Loss: 2.5827	LR: 0.003014
Training Epoch: 1 [27520/45388]	Loss: 2.6068	LR: 0.003028
Training Epoch: 1 [27648/45388]	Loss: 2.4313	LR: 0.003042
Training Epoch: 1 [27776/45388]	Loss: 2.4933	LR: 0.003056
Training Epoch: 1 [27904/45388]	Loss: 2.6093	LR: 0.003070
Training Epoch: 1 [28032/45388]	Loss: 2.4763	LR: 0.003085
Training Epoch: 1 [28160/45388]	Loss: 2.5250	LR: 0.003099
Training Epoch: 1 [28288/45388]	Loss: 2.4780	LR: 0.003113
Training Epoch: 1 [28416/45388]	Loss: 2.5907	LR: 0.003127
Training Epoch: 1 [28544/45388]	Loss: 2.4824	LR: 0.003141
Training Epoch: 1 [28672/45388]	Loss: 2.4444	LR: 0.003155
Training Epoch: 1 [28800/45388]	Loss: 2.5158	LR: 0.003169
Training Epoch: 1 [28928/45388]	Loss: 2.4227	LR: 0.003183
Training Epoch: 1 [29056/45388]	Loss: 2.4575	LR: 0.003197
Training Epoch: 1 [29184/45388]	Loss: 2.4150	LR: 0.003211
Training Epoch: 1 [29312/45388]	Loss: 2.4161	LR: 0.003225
Training Epoch: 1 [29440/45388]	Loss: 2.3140	LR: 0.003239
Training Epoch: 1 [29568/45388]	Loss: 2.4284	LR: 0.003254
Training Epoch: 1 [29696/45388]	Loss: 2.3981	LR: 0.003268
Training Epoch: 1 [29824/45388]	Loss: 2.3783	LR: 0.003282
Training Epoch: 1 [29952/45388]	Loss: 2.3196	LR: 0.003296
Training Epoch: 1 [30080/45388]	Loss: 2.3284	LR: 0.003310
Training Epoch: 1 [30208/45388]	Loss: 2.3098	LR: 0.003324
Training Epoch: 1 [30336/45388]	Loss: 2.3681	LR: 0.003338
Training Epoch: 1 [30464/45388]	Loss: 2.3288	LR: 0.003352
Training Epoch: 1 [30592/45388]	Loss: 2.1857	LR: 0.003366
Training Epoch: 1 [30720/45388]	Loss: 2.3588	LR: 0.003380
Training Epoch: 1 [30848/45388]	Loss: 2.3950	LR: 0.003394
Training Epoch: 1 [30976/45388]	Loss: 2.3199	LR: 0.003408
Training Epoch: 1 [31104/45388]	Loss: 2.3932	LR: 0.003423
Training Epoch: 1 [31232/45388]	Loss: 2.2753	LR: 0.003437
Training Epoch: 1 [31360/45388]	Loss: 2.2104	LR: 0.003451
Training Epoch: 1 [31488/45388]	Loss: 2.1733	LR: 0.003465
Training Epoch: 1 [31616/45388]	Loss: 2.1992	LR: 0.003479
Training Epoch: 1 [31744/45388]	Loss: 2.2350	LR: 0.003493
Training Epoch: 1 [31872/45388]	Loss: 2.1495	LR: 0.003507
Training Epoch: 1 [32000/45388]	Loss: 2.3231	LR: 0.003521
Training Epoch: 1 [32128/45388]	Loss: 2.0998	LR: 0.003535
Training Epoch: 1 [32256/45388]	Loss: 2.1469	LR: 0.003549
