Training Epoch: 1 [19584/45388]	Loss: 3.0074	LR: 0.002155
Training Epoch: 1 [19712/45388]	Loss: 3.0315	LR: 0.002169
Training Epoch: 1 [19840/45388]	Loss: 2.9734	LR: 0.002183
Training Epoch: 1 [19968/45388]	Loss: 3.0214	LR: 0.002197
Training Epoch: 1 [20096/45388]	Loss: 2.9887	LR: 0.002211
Training Epoch: 1 [20224/45388]	Loss: 3.0246	LR: 0.002225
Training Epoch: 1 [20352/45388]	Loss: 2.9973	LR: 0.002239
Training Epoch: 1 [20480/45388]	Loss: 2.9772	LR: 0.002254
Training Epoch: 1 [20608/45388]	Loss: 3.0314	LR: 0.002268
Training Epoch: 1 [20736/45388]	Loss: 2.9736	LR: 0.002282
Training Epoch: 1 [20864/45388]	Loss: 3.0218	LR: 0.002296
Training Epoch: 1 [20992/45388]	Loss: 3.0034	LR: 0.002310
Training Epoch: 1 [21120/45388]	Loss: 2.9431	LR: 0.002324
Training Epoch: 1 [21248/45388]	Loss: 2.9497	LR: 0.002338
Training Epoch: 1 [21376/45388]	Loss: 3.0027	LR: 0.002352
Training Epoch: 1 [21504/45388]	Loss: 3.0137	LR: 0.002366
Training Epoch: 1 [21632/45388]	Loss: 2.9957	LR: 0.002380
Training Epoch: 1 [21760/45388]	Loss: 2.9860	LR: 0.002394
Training Epoch: 1 [21888/45388]	Loss: 2.9752	LR: 0.002408
Training Epoch: 1 [22016/45388]	Loss: 2.9950	LR: 0.002423
Training Epoch: 1 [22144/45388]	Loss: 2.9405	LR: 0.002437
Training Epoch: 1 [22272/45388]	Loss: 2.9462	LR: 0.002451
Training Epoch: 1 [22400/45388]	Loss: 2.9774	LR: 0.002465
Training Epoch: 1 [22528/45388]	Loss: 2.9786	LR: 0.002479
Training Epoch: 1 [22656/45388]	Loss: 2.9244	LR: 0.002493
Training Epoch: 1 [22784/45388]	Loss: 2.9208	LR: 0.002507
Training Epoch: 1 [22912/45388]	Loss: 2.9401	LR: 0.002521
Training Epoch: 1 [23040/45388]	Loss: 2.9401	LR: 0.002535
Training Epoch: 1 [23168/45388]	Loss: 2.9758	LR: 0.002549
Training Epoch: 1 [23296/45388]	Loss: 2.9595	LR: 0.002563
Training Epoch: 1 [23424/45388]	Loss: 2.9750	LR: 0.002577
Training Epoch: 1 [23552/45388]	Loss: 2.9375	LR: 0.002592
Training Epoch: 1 [23680/45388]	Loss: 3.0013	LR: 0.002606
Training Epoch: 1 [23808/45388]	Loss: 2.9471	LR: 0.002620
Training Epoch: 1 [23936/45388]	Loss: 2.9436	LR: 0.002634
Training Epoch: 1 [24064/45388]	Loss: 2.9574	LR: 0.002648
Training Epoch: 1 [24192/45388]	Loss: 2.9842	LR: 0.002662
Training Epoch: 1 [24320/45388]	Loss: 2.9352	LR: 0.002676
Training Epoch: 1 [24448/45388]	Loss: 2.9199	LR: 0.002690
Training Epoch: 1 [24576/45388]	Loss: 3.0012	LR: 0.002704
Training Epoch: 1 [24704/45388]	Loss: 2.8897	LR: 0.002718
Training Epoch: 1 [24832/45388]	Loss: 2.9641	LR: 0.002732
Training Epoch: 1 [24960/45388]	Loss: 2.8923	LR: 0.002746
Training Epoch: 1 [25088/45388]	Loss: 2.9347	LR: 0.002761
Training Epoch: 1 [25216/45388]	Loss: 2.9056	LR: 0.002775
Training Epoch: 1 [25344/45388]	Loss: 2.9174	LR: 0.002789
Training Epoch: 1 [25472/45388]	Loss: 2.9694	LR: 0.002803
Training Epoch: 1 [25600/45388]	Loss: 2.9268	LR: 0.002817
Training Epoch: 1 [25728/45388]	Loss: 2.9500	LR: 0.002831
Training Epoch: 1 [25856/45388]	Loss: 2.9312	LR: 0.002845
Training Epoch: 1 [25984/45388]	Loss: 2.9386	LR: 0.002859
Training Epoch: 1 [26112/45388]	Loss: 2.9228	LR: 0.002873
Training Epoch: 1 [26240/45388]	Loss: 2.8846	LR: 0.002887
Training Epoch: 1 [26368/45388]	Loss: 2.9063	LR: 0.002901
Training Epoch: 1 [26496/45388]	Loss: 2.9551	LR: 0.002915
Training Epoch: 1 [26624/45388]	Loss: 2.9210	LR: 0.002930
Training Epoch: 1 [26752/45388]	Loss: 2.8864	LR: 0.002944
Training Epoch: 1 [26880/45388]	Loss: 2.8751	LR: 0.002958
Training Epoch: 1 [27008/45388]	Loss: 2.8782	LR: 0.002972
Training Epoch: 1 [27136/45388]	Loss: 2.8803	LR: 0.002986
Training Epoch: 1 [27264/45388]	Loss: 2.8879	LR: 0.003000
Training Epoch: 1 [27392/45388]	Loss: 2.8794	LR: 0.003014
Training Epoch: 1 [27520/45388]	Loss: 2.8755	LR: 0.003028
Training Epoch: 1 [27648/45388]	Loss: 2.9017	LR: 0.003042
Training Epoch: 1 [27776/45388]	Loss: 2.8742	LR: 0.003056
Training Epoch: 1 [27904/45388]	Loss: 2.8727	LR: 0.003070
Training Epoch: 1 [28032/45388]	Loss: 2.8747	LR: 0.003085
Training Epoch: 1 [28160/45388]	Loss: 2.8671	LR: 0.003099
Training Epoch: 1 [28288/45388]	Loss: 2.8815	LR: 0.003113
Training Epoch: 1 [28416/45388]	Loss: 2.9123	LR: 0.003127
Training Epoch: 1 [28544/45388]	Loss: 2.8491	LR: 0.003141
Training Epoch: 1 [28672/45388]	Loss: 2.9042	LR: 0.003155
Training Epoch: 1 [28800/45388]	Loss: 2.9282	LR: 0.003169
Training Epoch: 1 [28928/45388]	Loss: 2.8822	LR: 0.003183
Training Epoch: 1 [29056/45388]	Loss: 2.8573	LR: 0.003197
Training Epoch: 1 [29184/45388]	Loss: 2.8618	LR: 0.003211
Training Epoch: 1 [29312/45388]	Loss: 2.8132	LR: 0.003225
Training Epoch: 1 [29440/45388]	Loss: 2.8548	LR: 0.003239
Training Epoch: 1 [29568/45388]	Loss: 2.8139	LR: 0.003254
Training Epoch: 1 [29696/45388]	Loss: 2.8426	LR: 0.003268
Training Epoch: 1 [29824/45388]	Loss: 2.8449	LR: 0.003282
Training Epoch: 1 [29952/45388]	Loss: 2.8285	LR: 0.003296
Training Epoch: 1 [30080/45388]	Loss: 2.8481	LR: 0.003310
Training Epoch: 1 [30208/45388]	Loss: 2.8223	LR: 0.003324
Training Epoch: 1 [30336/45388]	Loss: 2.8112	LR: 0.003338
Training Epoch: 1 [30464/45388]	Loss: 2.8045	LR: 0.003352
Training Epoch: 1 [30592/45388]	Loss: 2.8174	LR: 0.003366
Training Epoch: 1 [30720/45388]	Loss: 2.8203	LR: 0.003380
Training Epoch: 1 [30848/45388]	Loss: 2.8215	LR: 0.003394
Training Epoch: 1 [30976/45388]	Loss: 2.8150	LR: 0.003408
Training Epoch: 1 [31104/45388]	Loss: 2.7657	LR: 0.003423
Training Epoch: 1 [31232/45388]	Loss: 2.7890	LR: 0.003437
Training Epoch: 1 [31360/45388]	Loss: 2.8107	LR: 0.003451
Training Epoch: 1 [31488/45388]	Loss: 2.7598	LR: 0.003465
Training Epoch: 1 [31616/45388]	Loss: 2.7388	LR: 0.003479
Training Epoch: 1 [31744/45388]	Loss: 2.7840	LR: 0.003493
Training Epoch: 1 [31872/45388]	Loss: 2.7368	LR: 0.003507
Training Epoch: 1 [32000/45388]	Loss: 2.7620	LR: 0.003521
Training Epoch: 1 [32128/45388]	Loss: 2.7857	LR: 0.003535
Training Epoch: 1 [32256/45388]	Loss: 2.7336	LR: 0.003549
Training Epoch: 1 [32384/45388]	Loss: 2.7713	LR: 0.003563
